sample,pi_estimate
2,4
3,4
4,4
5,4
6,3.2
7,3.33333
8,3.42857
9,3.5
10,3.55556
11,3.2
12,3.27273
13,3.33333
14,3.38462
15,3.42857
16,3.46667
17,3.5
18,3.52941
19,3.55556
20,3.36842
21,3.4
22,3.42857
23,3.45455
24,3.30435
25,3.33333
26,3.36
27,3.38462
28,3.25926
29,3.28571
30,3.31034
31,3.33333
32,3.35484
33,3.375
34,3.27273
35,3.29412
36,3.31429
37,3.33333
38,3.35135
39,3.36842
40,3.38462
41,3.4
42,3.41463
43,3.42857
44,3.34884
45,3.36364
46,3.37778
47,3.30435
48,3.31915
49,3.33333
50,3.34694
51,3.36
52,3.29412
53,3.30769
54,3.32075
55,3.33333
56,3.27273
57,3.28571
58,3.29825
59,3.31034
60,3.32203
61,3.33333
62,3.34426
63,3.35484
64,3.36508
65,3.375
66,3.38462
67,3.39394
68,3.40299
69,3.41176
70,3.42029
71,3.42857
72,3.38028
73,3.38889
74,3.39726
75,3.40541
76,3.41333
77,3.42105
78,3.37662
79,3.38462
80,3.39241
81,3.4
82,3.40741
83,3.41463
84,3.42169
85,3.42857
86,3.43529
87,3.44186
88,3.4023
89,3.40909
90,3.41573
91,3.42222
92,3.38462
93,3.3913
94,3.39785
95,3.40426
96,3.41053
97,3.41667
98,3.42268
99,3.42857
100,3.43434
101,3.44
102,3.44554
103,3.41176
104,3.41748
105,3.42308
106,3.42857
107,3.43396
108,3.40187
109,3.40741
110,3.41284
111,3.41818
112,3.38739
113,3.39286
114,3.39823
115,3.36842
116,3.33913
117,3.34483
118,3.35043
119,3.32203
120,3.32773
121,3.33333
122,3.33884
123,3.34426
124,3.34959
125,3.32258
126,3.328
127,3.33333
128,3.30709
129,3.3125
130,3.31783
131,3.32308
132,3.32824
133,3.33333
134,3.30827
135,3.31343
136,3.31852
137,3.32353
138,3.32847
139,3.33333
140,3.30935
141,3.31429
142,3.31915
143,3.29577
144,3.3007
145,3.30556
146,3.31034
147,3.31507
148,3.29252
149,3.27027
150,3.27517
151,3.28
152,3.28477
153,3.28947
154,3.29412
155,3.2987
156,3.30323
157,3.30769
158,3.3121
159,3.31646
160,3.32075
161,3.3
162,3.30435
163,3.28395
164,3.28834
165,3.26829
166,3.27273
167,3.27711
168,3.28144
169,3.28571
170,3.28994
171,3.29412
172,3.29825
173,3.30233
174,3.28324
175,3.28736
176,3.29143
177,3.29545
178,3.29944
179,3.30337
180,3.30726
181,3.31111
182,3.31492
183,3.31868
184,3.3224
185,3.32609
186,3.32973
187,3.31183
188,3.31551
189,3.31915
190,3.32275
191,3.32632
192,3.3089
193,3.3125
194,3.31606
195,3.31959
196,3.30256
197,3.30612
198,3.30964
199,3.29293
200,3.27638
201,3.28
202,3.26368
203,3.26733
204,3.27094
205,3.27451
206,3.27805
207,3.26214
208,3.2657
209,3.26923
210,3.27273
211,3.27619
212,3.27962
213,3.28302
214,3.26761
215,3.27103
216,3.25581
217,3.25926
218,3.26267
219,3.26606
220,3.25114
221,3.25455
222,3.23982
223,3.24324
224,3.24664
225,3.25
226,3.25333
227,3.25664
228,3.24229
229,3.24561
230,3.24891
231,3.25217
232,3.2381
233,3.22414
